emp_ID,referral,location,satisfied
x1,Referred,Remote,Favorable
x2,Referred,Remote,Unfavorable
x3,Referred,Remote,Unfavorable
x4,Referred,Remote,Favorable
x5,Referred,Remote,Unfavorable
x6,Referred,Remote,Favorable
x7,Referred,Remote,Favorable
x8,Referred,Remote,Favorable
x9,Referred,Remote,Favorable
x10,Referred,Remote,Unfavorable
x11,Referred,Remote,Favorable
x12,Referred,Remote,Unfavorable
x13,Referred,Remote,Favorable
x14,Referred,Remote,Favorable
x15,Referred,Remote,Favorable
x16,Referred,Remote,Favorable
x17,Referred,Remote,Favorable
x18,Referred,Remote,Favorable
x19,Referred,Remote,Favorable
x20,Referred,Remote,Unfavorable
x21,Referred,Remote,Favorable
x22,Referred,Remote,Unfavorable
x23,Referred,Remote,Favorable
x24,Referred,Remote,Favorable
x25,Referred,Remote,Favorable
x26,Referred,Remote,Favorable
x27,Referred,Remote,Favorable
x28,Referred,Remote,Favorable
x29,Referred,Remote,Favorable
x30,Referred,Remote,Favorable
x31,Referred,Remote,Favorable
x32,Referred,Remote,Favorable
x33,Referred,Remote,Favorable
x34,Referred,Remote,Favorable
x35,Referred,Remote,Favorable
x36,Referred,Remote,Favorable
x37,Referred,Remote,Unfavorable
x38,Referred,Remote,Favorable
x39,Referred,Remote,Favorable
x40,Referred,Remote,Favorable
x41,Referred,Remote,Favorable
x42,Referred,Remote,Favorable
x43,Referred,Remote,Favorable
x44,Referred,Remote,Favorable
x45,Referred,Remote,Favorable
x46,Referred,Remote,Favorable
x47,Referred,Remote,Favorable
x48,Referred,Remote,Favorable
x49,Referred,Remote,Favorable
x50,Referred,Remote,Favorable
x51,Referred,Remote,Favorable
x52,Referred,Remote,Favorable
x53,Referred,Remote,Favorable
x54,Referred,Remote,Favorable
x55,Referred,Remote,Favorable
x56,Referred,Remote,Favorable
x57,Referred,Remote,Favorable
x58,Referred,Remote,Unfavorable
x59,Referred,Remote,Favorable
x60,Referred,Remote,Favorable
x61,Referred,Remote,Favorable
x62,Applied,Remote,Favorable
x63,Applied,Remote,Unfavorable
x64,Applied,Remote,Unfavorable
x65,Applied,Remote,Favorable
x66,Applied,Remote,Favorable
x67,Applied,Remote,Favorable
x68,Applied,Remote,Favorable
x69,Applied,Remote,Favorable
x70,Applied,Remote,Favorable
x71,Applied,Remote,Unfavorable
x72,Applied,Remote,Favorable
x73,Applied,Remote,Favorable
x74,Applied,Remote,Unfavorable
x75,Applied,Remote,Favorable
x76,Applied,Remote,Favorable
x77,Applied,Remote,Unfavorable
x78,Applied,Remote,Favorable
x79,Applied,Remote,Unfavorable
x80,Applied,Remote,Favorable
x81,Applied,Remote,Favorable
x82,Applied,Remote,Favorable
x83,Applied,Remote,Favorable
x84,Applied,Remote,Unfavorable
x85,Applied,Remote,Favorable
x86,Applied,Remote,Favorable
x87,Applied,Remote,Favorable
x88,Applied,Remote,Favorable
x89,Applied,Remote,Unfavorable
x90,Applied,Remote,Favorable
x91,Applied,Remote,Favorable
x92,Applied,Remote,Favorable
x93,Applied,Remote,Favorable
x94,Applied,Remote,Unfavorable
x95,Applied,Remote,Unfavorable
x96,Applied,Remote,Unfavorable
x97,Applied,Remote,Favorable
x98,Applied,Remote,Favorable
x99,Applied,Remote,Favorable
x100,Applied,Remote,Favorable
x101,Applied,Remote,Unfavorable
x102,Applied,Remote,Favorable
x103,Applied,Remote,Unfavorable
x104,Applied,Remote,Favorable
x105,Applied,Remote,Unfavorable
x106,Applied,Remote,Unfavorable
x107,Applied,Remote,Favorable
x108,Applied,Remote,Unfavorable
x109,Applied,Remote,Favorable
x110,Applied,Remote,Favorable
x111,Applied,Remote,Favorable
x112,Applied,Remote,Favorable
x113,Applied,Remote,Favorable
x114,Applied,Remote,Favorable
x115,Applied,Remote,Favorable
x116,Applied,Remote,Unfavorable
x117,Applied,Remote,Favorable
x118,Applied,Remote,Unfavorable
x119,Applied,Remote,Unfavorable
x120,Applied,Remote,Favorable
x121,Applied,Remote,Favorable
x122,Applied,Remote,Favorable
x123,Applied,Remote,Favorable
x124,Applied,Remote,Unfavorable
x125,Applied,Remote,Unfavorable
x126,Applied,Remote,Unfavorable
x127,Applied,Remote,Unfavorable
x128,Applied,Remote,Unfavorable
x129,Applied,Remote,Unfavorable
x130,Applied,Remote,Unfavorable
x131,Applied,Remote,Favorable
x132,Applied,Remote,Favorable
x133,Applied,Remote,Favorable
x134,Applied,Remote,Unfavorable
x135,Applied,Remote,Favorable
x136,Applied,Remote,Favorable
x137,Applied,Remote,Favorable
x138,Applied,Remote,Unfavorable
x139,Applied,Remote,Favorable
x140,Applied,Remote,Favorable
x141,Applied,Remote,Favorable
x142,Applied,Remote,Favorable
x143,Applied,Remote,Favorable
x144,Applied,Remote,Unfavorable
x145,Applied,Remote,Unfavorable
x146,Applied,Remote,Unfavorable
x147,Applied,Remote,Favorable
x148,Applied,Remote,Favorable
x149,Applied,Remote,Unfavorable
x150,Applied,Remote,Unfavorable
x151,Applied,Remote,Favorable
x152,Applied,Remote,Favorable
x153,Applied,Remote,Favorable
x154,Applied,Remote,Favorable
x155,Applied,Remote,Favorable
x156,Applied,Remote,Unfavorable
x157,Applied,Remote,Unfavorable
x158,Applied,Remote,Favorable
x159,Applied,Remote,Favorable
x160,Applied,Remote,Favorable
x161,Applied,Remote,Unfavorable
x162,Applied,Remote,Favorable
x163,Applied,Remote,Favorable
x164,Applied,Remote,Unfavorable
x165,Applied,Remote,Favorable
x166,Applied,Remote,Unfavorable
x167,Applied,Remote,Unfavorable
x168,Applied,Remote,Favorable
x169,Applied,Remote,Unfavorable
x170,Applied,Remote,Unfavorable
x171,Applied,Remote,Unfavorable
x172,Applied,Remote,Favorable
x173,Applied,Remote,Unfavorable
x174,Applied,Remote,Favorable
x175,Applied,Remote,Favorable
x176,Applied,Remote,Favorable
x177,Applied,Remote,Favorable
x178,Applied,Remote,Favorable
x179,Applied,Remote,Unfavorable
x180,Applied,Remote,Unfavorable
x181,Applied,Remote,Favorable
x182,Applied,Remote,Favorable
x183,Applied,Remote,Unfavorable
x184,Applied,Remote,Favorable
x185,Applied,Remote,Favorable
x186,Applied,Remote,Favorable
x187,Applied,Remote,Favorable
x188,Applied,Remote,Unfavorable
x189,Applied,Remote,Unfavorable
x190,Applied,Remote,Favorable
x191,Applied,Remote,Favorable
x192,Applied,Remote,Favorable
x193,Applied,Remote,Favorable
x194,Applied,Remote,Favorable
x195,Applied,Remote,Favorable
x196,Applied,Remote,Favorable
x197,Applied,Remote,Favorable
x198,Applied,Remote,Unfavorable
x199,Applied,Remote,Favorable
x200,Applied,Remote,Favorable
x201,Applied,Remote,Favorable
x202,Applied,Remote,Unfavorable
x203,Applied,Remote,Favorable
x204,Applied,Remote,Favorable
x205,Applied,Remote,Unfavorable
x206,Applied,Remote,Unfavorable
x207,Applied,Remote,Favorable
x208,Applied,Remote,Favorable
x209,Applied,Remote,Unfavorable
x210,Applied,Remote,Favorable
x211,Applied,Remote,Favorable
x212,Applied,Remote,Favorable
x213,Applied,Remote,Unfavorable
x214,Applied,Remote,Favorable
x215,Applied,Remote,Favorable
x216,Applied,Remote,Favorable
x217,Applied,Remote,Favorable
x218,Applied,Remote,Favorable
x219,Applied,Remote,Favorable
x220,Applied,Remote,Favorable
x221,Applied,Remote,Favorable
x222,Applied,Remote,Unfavorable
x223,Applied,Remote,Unfavorable
x224,Applied,Remote,Favorable
x225,Applied,Remote,Unfavorable
x226,Applied,Remote,Unfavorable
x227,Applied,Remote,Unfavorable
x228,Applied,Remote,Favorable
x229,Applied,Remote,Favorable
x230,Applied,Remote,Unfavorable
x231,Applied,Remote,Favorable
x232,Applied,Remote,Unfavorable
x233,Applied,Remote,Favorable
x234,Applied,Remote,Favorable
x235,Applied,Remote,Favorable
x236,Applied,Remote,Unfavorable
x237,Applied,Remote,Favorable
x238,Applied,Remote,Favorable
x239,Applied,Remote,Favorable
x240,Applied,Remote,Favorable
x241,Applied,Remote,Favorable
x242,Applied,Remote,Favorable
x243,Applied,Remote,Favorable
x244,Applied,Remote,Favorable
x245,Applied,Remote,Favorable
x246,Applied,Remote,Unfavorable
x247,Applied,Remote,Favorable
x248,Applied,Remote,Favorable
x249,Applied,Remote,Favorable
x250,Applied,Remote,Favorable
x251,Applied,Remote,Unfavorable
x252,Applied,Remote,Unfavorable
x253,Applied,Remote,Unfavorable
x254,Applied,Remote,Favorable
x255,Applied,Remote,Favorable
x256,Applied,Remote,Unfavorable
x257,Applied,Remote,Favorable
x258,Applied,Remote,Favorable
x259,Applied,Remote,Favorable
x260,Applied,Remote,Unfavorable
x261,Applied,Remote,Favorable
x262,Applied,Remote,Unfavorable
x263,Applied,Remote,Favorable
x264,Applied,Remote,Favorable
x265,Applied,Remote,Favorable
x266,Applied,Remote,Favorable
x267,Applied,Remote,Unfavorable
x268,Applied,Remote,Unfavorable
x269,Applied,Remote,Favorable
x270,Applied,Remote,Favorable
x271,Applied,Remote,Favorable
x272,Applied,Remote,Favorable
x273,Applied,Remote,Favorable
x274,Applied,Remote,Unfavorable
x275,Applied,Remote,Favorable
x276,Applied,Remote,Favorable
x277,Applied,Remote,Favorable
x278,Applied,Remote,Unfavorable
x279,Applied,Remote,Favorable
x280,Applied,Remote,Unfavorable
x281,Applied,Remote,Favorable
x282,Applied,Remote,Favorable
x283,Applied,Remote,Unfavorable
x284,Applied,Remote,Unfavorable
x285,Applied,Remote,Favorable
x286,Applied,Remote,Favorable
x287,Applied,Remote,Favorable
x288,Applied,Remote,Favorable
x289,Applied,Remote,Unfavorable
x290,Applied,Remote,Favorable
x291,Applied,Remote,Favorable
x292,Applied,Remote,Unfavorable
x293,Applied,Remote,Unfavorable
x294,Applied,Remote,Favorable
x295,Applied,Remote,Favorable
x296,Applied,Remote,Unfavorable
x297,Applied,Remote,Favorable
